
2024/06/19 (22:43:52) | ===> btop++ v.1.3.2
2024/06/19 (22:43:52) | WARNING: Failed to set locale UTF-8 continuing anyway.
2024/06/21 (23:14:22) | ERROR: Stall in Runner thread, restarting!

2024/08/08 (20:11:48) | ===> btop++ v.1.3.2
2024/08/08 (20:11:48) | WARNING: Failed to set locale UTF-8 continuing anyway.
2024/08/08 (20:46:37) | ERROR: Stall in Runner thread, restarting!

2024/08/09 (22:29:51) | ===> btop++ v.1.3.2
2024/08/09 (22:29:51) | WARNING: Failed to set locale UTF-8 continuing anyway.
2024/08/09 (23:33:19) | ERROR: Stall in Runner thread, restarting!
2024/08/10 (08:29:56) | ERROR: Stall in Runner thread, restarting!

2024/09/21 (23:16:12) | ===> btop++ v.1.3.2
2024/09/21 (23:16:12) | WARNING: Failed to set locale UTF-8 continuing anyway.
